Ref,countriesLow,ISO3,WHO_code,WHO_country,SHP_CNTRY_NAME,GlobalGood,sPDF,UNHCR,GBD_study,UNESA,WHO_surveillance
121,Kosovo,KOS,XXX,Kosovo,XXX,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo
122,Kuwait,KWT,KUW,Kuwait,kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait,Kuwait
116,Kyrgyzstan,KGZ,XXX,Kyrgyzstan,XXX,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
123,Laos,LAO,XXX,Laos,XXX,Laos,Laos,Laos,Laos,Laos,Laos
133,Latvia,LVA,XXX,Latvia,XXX,Latvia,Latvia,Latvia,Latvia,Latvia,Latvia
124,Lebanon,LBN,LEB,Lebanon,lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon,Lebanon
130,Lesotho,LSO,LES,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho
125,Liberia,LBR,LIB,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia,Liberia
126,Libya,LBY,LIY,Libya,Libya,Libya,Libya,Libya,Libya,Libya,Libyan Arab Jamahiriya
128,Liechtenstein,LIE,XXX,Liechtenstein,XXX,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
131,Lithuania,LTU,XXX,Lithuania,XXX,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania,Lithuania
132,Luxembourg,LUX,XXX,Luxembourg,XXX,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg,Luxembourg
134,Macau,MAC,XXX,Macau,XXX,Macau,Macau,Macau,Macau,Macau,Macau
143,Macedonia,MKD,XXX,Macedonia,XXX,Macedonia,Macedonia,The former Yugoslav Republic of Macedonia,Macedonia,The former Yugoslav Republic of Macedonia,Macedonia
139,Madagascar,MDG,MAD,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar,Madagascar
154,Malawi,MWI,MAL,Malawi,Malawi,Malawi,Malawi,Malawi,Malawi,Malawi,Malawi
155,Malaysia,MYS,XXX,Malaysia,XXX,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia,Malaysia
140,Maldives,MDV,MDV,Maldives,maldives,Maldives,Maldives,Maldives,Maldives,Maldives,Maldives
144,Mali,MLI,MAI,Mali,Mali,Mali,Mali,Mali,Mali,Mali,Mali
145,Malta,MLT,XXX,Malta,XXX,Malta,Malta,Malta,Malta,Malta,Malta
142,Marshall Is.,MHL,XXX,Marshall Is.,XXX,Marshall Is.,Marshall Is.,Marshall Is.,Marshall Is.,Marshall Is.,Marshall Is.
151,Mauritania,MRT,MAU,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania,Mauritania
153,Mauritius,MUS,MAS,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius,Mauritius
141,Mexico,MEX,XXX,Mexico,XXX,Mexico,Mexico,Mexico,Mexico,Mexico,Mexico
75,Micronesia,FSM,XXX,Micronesia,XXX,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia,Micronesia
138,Moldova,MDA,XXX,Moldova,XXX,Moldova,Moldova,Republic of Moldova,Moldova,Republic of Moldova,Moldova
137,Monaco,MCO,XXX,Monaco,XXX,Monaco,Monaco,Monaco,Monaco,Monaco,Monaco
